MODEL INFORMATION,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,
Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,
Model Type,Three-Stage DP,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,
Data Source,udata,,,,,,,,,,,Data Source,udata,,,,,,,,,,,,Data Source,udata,,,,,,,,,,,,,Data Source,udata,,,,,,,,,,,,Data Source,udata,,,,,,,,,,,,,Data Source,udata,,,,,,,,,,
Sequence Length,8,,,,,,,,,,,Sequence Length,8,,,,,,,,,,,,Sequence Length,8,,,,,,,,,,,,,Sequence Length,8,,,,,,,,,,,,Sequence Length,8,,,,,,,,,,,,,Sequence Length,8,,,,,,,,,,
Delay Threshold,5.0 min,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,
Classification Threshold,0.5,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,
3-step,1909,1.9243,2.3665,-0.2672,1.2417,1.5883,0.1282,-1.66,-2.18,1.68,,3-step,1909,2.6593,3.0138,-1.0553,1.3955,1.762,-0.0729,0.26,-2.18,1.34,1.85,,3-step,1909,2.6093,3.0391,-1.0899,1.3416,1.7115,-0.0123,0.16,-2.18,1.33,1.85,,,3-step,1909,2.5793,2.9517,-0.9714,1.5792,1.9908,-0.3696,0.1,-2.18,0.96,1.85,,3-step,1909,2.6319,3.0042,-1.0422,1.4052,1.7891,-0.1061,0.17,-2.18,1.36,1.85,,,3-step,1909,2.4414,2.7983,-0.7718,1.4299,1.8176,-0.1417,-0.04,-2.18,1.27,1.85
6-step,1909,1.9778,2.4191,-0.6972,1.4057,1.7682,-0.0078,-1.44,-2.3,1.75,,6-step,1909,2.6787,3.0331,-1.668,1.598,1.978,-0.2611,0.24,-2.3,1.44,1.73,,6-step,1909,2.7037,3.0755,-1.7432,1.5269,1.9219,-0.1906,0.27,-2.3,1.44,1.73,,,6-step,1909,2.6608,3.0185,-1.6423,1.6953,2.0999,-0.4213,0.2,-2.3,1.01,1.73,,6-step,1909,2.7263,3.0834,-1.7572,1.545,1.9372,-0.2097,0.29,-2.3,1.45,1.73,,,6-step,1909,2.7227,3.0816,-1.754,1.5266,1.925,-0.1944,0.29,-2.3,1.33,1.73
12-step,1909,2.0344,2.4556,-0.8856,1.8718,2.3215,-0.2996,-1.32,-2.15,1.67,,12-step,1909,3.0239,3.4607,-2.745,2.2837,2.8222,-0.9207,0.72,-2.15,1.64,1.34,,12-step,1909,3.0044,3.4457,-2.7126,2.1156,2.6546,-0.6994,0.7,-2.15,1.62,1.34,,,12-step,1909,2.8178,3.2647,-2.3328,2.0549,2.5887,-0.616,0.49,-2.15,1.1,1.34,,12-step,1909,3.0278,3.455,-2.7328,2.0988,2.6239,-0.6603,0.74,-2.15,1.64,1.34,,,12-step,1909,3.0284,3.4734,-2.7727,2.045,2.5567,-0.5763,0.74,-2.15,1.5,1.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,
DETAILED METRICS - ALL FLIGHTS (OVERALL),,,,,,,,,,,,DETAILED METRICS - ALL FLIGHTS (OVERALL),,,,,,,,,,,,,DETAILED METRICS - ALL FLIGHTS (OVERALL),,,,,,,,,,,,,,DETAILED METRICS - ALL FLIGHTS (OVERALL),,,,,,,,,,,,,DETAILED METRICS - ALL FLIGHTS (OVERALL),,,,,,,,,,,,,,DETAILED METRICS - ALL FLIGHTS (OVERALL),,,,,,,,,,,
================================================================================,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,
Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target,,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target,,,Horizon,Samples,Arrival MAE,Arrival RMSE,Arrival R2,Departure MAE,Departure RMSE,Departure R2,Mean Arr Pred,Mean Arr Target,Mean Dep Pred,Mean Dep Target
3-step,15763,4.2799,5.4581,-0.4383,1.4399,1.8131,0.7461,-0.51,-4.09,1.67,,3-step,15763,4.9255,5.8302,-0.6411,1.5028,1.874,0.7287,0.58,-4.09,1.51,1.31,,3-step,15763,4.9166,5.8637,-0.66,1.4765,1.8533,0.7347,0.54,-4.09,1.56,1.31,,,3-step,15763,4.8828,5.8177,-0.6341,1.5406,1.9419,0.7087,0.51,-4.09,1.41,1.31,,3-step,15763,4.8843,5.8152,-0.6327,1.4727,1.8555,0.734,0.53,-4.09,1.54,1.31,,,3-step,15763,4.7786,5.737,-0.589,1.5209,1.9121,0.7176,0.39,-4.09,1.49,1.31
6-step,15763,4.4467,5.5468,-0.4846,1.5734,1.9761,0.6985,-0.39,-4.09,1.65,,6-step,15763,4.9481,5.8365,-0.6437,1.704,2.1088,0.6567,0.61,-4.09,1.47,1.31,,6-step,15763,4.9895,5.8675,-0.6612,1.6541,2.0578,0.6731,0.65,-4.09,1.54,1.31,,,6-step,15763,4.9423,5.8347,-0.6427,1.7139,2.1381,0.647,0.61,-4.09,1.34,1.31,,6-step,15763,4.954,5.8442,-0.6481,1.6522,2.0627,0.6715,0.64,-4.09,1.51,1.31,,,6-step,15763,4.9614,5.8462,-0.6492,1.6481,2.0607,0.6722,0.63,-4.09,1.48,1.31
12-step,15763,4.718,5.692,-0.5617,2.0185,2.5598,0.4941,-0.47,-4.08,1.41,,12-step,15763,5.2821,6.1489,-0.8224,2.3349,2.8951,0.3529,0.86,-4.08,1.37,1.31,,12-step,15763,5.2922,6.1516,-0.824,2.2645,2.8108,0.39,0.89,-4.08,1.43,1.31,,,12-step,15763,5.2194,6.0911,-0.7883,2.1627,2.7376,0.4214,0.78,-4.08,1.13,1.31,,12-step,15763,5.2913,6.143,-0.819,2.1404,2.6859,0.443,0.88,-4.08,1.36,1.31,,,12-step,15763,5.2967,6.1451,-0.8202,2.1364,2.6809,0.4451,0.88,-4.08,1.36,1.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3-step,15763,4.9255,5.8302,-0.6411,1.5028,1.874,0.7287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
